Study,Species common name,Species,Regne,Phyla,Classe,Ordre,Factor,Factor variation,Crossing/wild,Method,Type of h? (narrow / broad),comment,Which is stressful?,Stress (heat/acidity/drought/wet),trait,trait type (lht/morpho/physio/behav),error type,h? mild environment,se h? mild,range of CI mild,SE m,h? harsh environment,se h? harsh environment,range of CI harsh,SE h,error type,evolvability mild environment,se evolvability mild environment,evolvability harsh environment,se evolvability harsh environment,error type,Evol_Mild,Evol_Harsh,Va mild environment,se Va mild environment,Va harsh environment,se Va harsh environment,Vp mild,Vp harsh,mean mild,se mean mild,mean harsh,se mean harsh,ISSN,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Early Access Date,UT (Unique WOS ID)
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,Vein length per area,Morphology,se,0.379,0.221,,0.221,0.38,0.235,,0.235,se,15.4,5.3,17.7,6.5,se,15.4,17.7,4.872,3.349,7.609,5.621,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,Leaf thickness,Morphology,se,0.113,0.1,,0.1,0.096,0.094,,0.094,se,3.7,1.8,4.1,2,se,3.7,4.1,70.84,67.86,87.87,85.82,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,Leaf lamina area,Morphology,se,0.238,0.167,,0.167,0.267,0.194,,0.194,se,17.9,7.1,18.7,8,se,17.9,18.7,10.15,8.09,7.86,6.67,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,Stomatal density,Physiology,se,0.161,0.137,,0.137,0.203,0.147,,0.147,se,7.3,3.3,9.5,3.8,se,7.3,9.5,2350,2104,4189,3363,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,Stomatal length,Morphology,se,0.279,0.185,,0.185,0.439,0.231,,0.231,se,4.9,1.9,8.4,2.7,se,4.9,8.4,0.481,0.374,1.293,0.825,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,Stomatal pore index,Physiology,se,0.322,0.201,,0.201,0.567,0.267,,0.267,se,13.5,4.9,20.1,6.2,se,13.5,20.1,0.324,0.235,0.621,0.384,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,Electron transport rate,Physiology,se,0.219,0.168,,0.168,0.462,0.232,,0.232,se,12.4,5.1,21.4,6.6,se,12.4,21.4,178.6,147.9,459.1,284,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,Non photochemical quenching,Physiology,se,0.327,0.204,,0.204,0.411,0.232,,0.232,se,21.3,7.7,24.7,8,se,21.3,24.7,0.568,0.411,0.996,0.647,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,area-based photosynthetic rate,Physiology,se,0.807,0.351,,0.351,0.412,0.26,,0.26,se,42.3,12.6,35.5,13.9,se,42.3,35.5,23.03,13.7,6.161,4.833,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,area-based stomatal conductance,Physiology,se,0.525,0.288,,0.288,0.26,0.201,,0.201,se,44.9,15.8,45.4,20.4,se,44.9,45.4,11269,7923,2039,1831,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,mass-based photosynthetic rate,Physiology,se,0.17,0.205,,0.205,0.099,0.134,,0.134,se,17.2,11.1,16.9,11.9,se,17.2,16.9,410.1,529.2,142.3,199.9,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,mass-based stomatal conductance,Physiology,se,0.368,0.255,,0.255,0.28,0.215,,0.215,se,37.7,15,46.7,20.1,se,37.7,46.7,87.51,69.5,20.73,17.81,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,intrinsic water-use efficiency,Physiology,se,0.274,0.215,,0.215,0.151,0.14,,0.14,se,22.6,9.8,17.6,8.8,se,22.6,17.6,177.6,154.4,211.6,231,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,Growth,LHT,se,0.429,0.283,,0.283,0.879,0.337,,0.337,se,37.3,15.7,75.3,25.3,se,37.3,75.3,8.522,7.154,6.804,4.577,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,SLA,Morphology,se,0.227,0.19,,0.19,0.256,0.213,,0.213,se,5.8,2.6,5.9,3,se,5.8,5.9,35.03,31.8,37.52,38.27,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,VLA,Morphology,se,0.733,0.355,,0.355,0.621,0.329,,0.329,se,24.3,8.6,16.8,6.4,se,24.3,16.8,12.26,8.651,6.798,5.203,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,Leaf thickness,Morphology,se,0.115,0.111,,0.111,0.274,0.225,,0.225,se,3.5,1.6,6,2.8,se,3.5,6,58.74,55.93,177.9,164.8,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,Leaf lamina area,Morphology,se,0.699,0.33,,0.33,0.395,0.265,,0.265,se,42.6,14.1,22.5,8.6,se,42.6,22.5,55.44,36.63,11.07,8.51,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,Stomatal density,Physiology,se,0.619,0.307,,0.307,0.541,0.301,,0.301,se,13.3,4.5,16.4,5.9,se,13.3,16.4,6882,4632,10641,7645,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,Stomatal length,Morphology,se,0.728,0.344,,0.344,0.651,0.333,,0.333,se,9.7,3.3,11,4,se,9.7,11,1.99,1.344,2.403,1.759,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,SPI,Physiology,se,0.44,0.282,,0.282,0.217,0.186,,0.186,se,14.9,6.2,9.2,4.6,se,14.9,9.2,0.386,0.323,0.131,0.13,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,ETR,Physiology,se,0.436,0.279,,0.279,0.118,0.113,,0.113,se,13.2,5.5,8,3.7,se,13.2,8,228,188.4,66.83,60.86,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,NPQ,Physiology,se,0.181,0.164,,0.164,0.128,0.125,,0.125,se,13.3,6.3,8.6,4.1,se,13.3,8.6,0.233,0.223,0.131,0.126,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,Aarea,Physiology,se,0.561,0.345,,0.345,0.324,0.249,,0.249,se,29.5,12.9,29.4,13.2,se,29.5,29.4,13.84,12.09,5.705,5.12,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,gs area,Physiology,se,0.654,0.381,,0.381,0.311,0.257,,0.257,se,56.3,23.5,39.2,18.3,se,56.3,39.2,18244,15236,2222,2068,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,Amass,Physiology,se,0.117,0.157,,0.157,0.076,0.094,,0.094,se,12.7,7.1,13.6,8.5,se,12.7,13.6,257.8,285.9,128.9,160.6,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,gs mass,Physiology,se,0.656,0.371,,0.371,0.303,0.255,,0.255,se,52.1,21.5,42,21.1,se,52.1,42,153.3,126.3,24.83,24.97,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Macuelizo,drought,drought,WUE,Physiology,se,0.28,0.238,,0.238,0.419,0.303,,0.303,se,23,11.1,23.7,11.1,se,23,23.7,218.7,211.7,347.3,326.5,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,Growth,LHT,se,0.219,0.18,,0.18,0.207,0.167,,0.167,se,22.2,9.8,29.2,12.2,se,22.2,29.2,3.163,2.792,1.009,12.2,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,SLA,Morphology,se,0.187,0.157,,0.157,0.253,0.203,,0.203,se,4.6,2.1,6.3,2.8,se,4.6,6.3,21.82,19.92,40.15,2.8,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,VLA,Morphology,se,0.23,0.182,,0.182,0.209,0.184,,0.184,se,10.5,4.8,11.5,5.6,se,10.5,11.5,2.207,2.016,3.1,5.6,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,Leaf thickness,Morphology,se,0.418,0.268,,0.268,0.166,0.14,,0.14,se,9.5,3.8,6.2,2.7,se,9.5,6.2,462.9,371,207.3,2.7,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,Leaf lamina area,Morphology,se,0.154,0.14,,0.14,0.35,0.252,,0.252,se,13.3,6.6,26.2,10.9,se,13.3,26.2,5.48,5.43,15.76,10.9,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,Stomatal density,Physiology,se,0.202,0.157,,0.157,0.079,0.084,,0.084,se,8.5,3.7,5.5,3.1,se,8.5,5.5,3056,26.87,1451,3.1,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,Stomatal length,Morphology,se,0.174,0.155,,0.155,0.184,0.18,,0.18,se,4.1,2,4.1,2.1,se,4.1,4.1,0.323,0.318,0.306,2.1,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,SPI,Physiology,se,0.174,0.164,,0.164,0.259,0.198,,0.198,se,11.3,5.7,11.2,4.8,se,11.3,11.2,0.214,0.214,0.201,4.8,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,ETR,Physiology,se,0.27,0.197,,0.197,0.565,0.293,,0.293,se,11,4.6,24,8,se,11,24,178.7,149.6,629.5,8,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,NPQ,Physiology,se,0.186,0.162,,0.162,0.234,0.191,,0.191,se,14.2,6.8,16.4,7.8,se,14.2,16.4,0.228,0.219,0.451,7.8,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,Aarea,Physiology,se,0.451,0.303,,0.303,0.581,0.333,,0.333,se,22.5,9.9,43.6,17.4,se,22.5,43.6,8.14,7.181,12.84,17.4,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,gs area,Physiology,se,0.499,0.338,,0.338,0.387,0.278,,0.278,se,38.7,17.5,42.3,18.8,se,38.7,42.3,9280,8394,2077,18.8,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,Amass,Physiology,se,0.168,0.198,,0.198,0.334,0.3,,0.3,se,11.7,7.1,26.2,13.2,se,11.7,26.2,227.5,277.5,415.8,13.2,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,gs mass,Physiology,se,0.19,0.276,,0.276,0.208,0.26,,0.26,se,20.2,14.1,24.6,16,se,20.2,24.6,25.97,36.13,5.75,16,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Sabana Grande,drought,drought,WUE,Physiology,se,0.488,0.328,,0.328,0.183,0.177,,0.177,se,23,10.5,16.6,8.8,se,23,16.6,201.9,185,195,8.8,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,Growth,LHT,se,0.198,0.166,,0.166,0.118,0.098,,0.098,se,12.4,5.9,21.9,9.4,se,12.4,21.9,0.956,0.905,0.562,0.482,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,SLA,Morphology,se,0.135,0.101,,0.101,0.629,0.23,,0.23,se,3.4,1.3,7.9,1.9,se,3.4,7.9,11.06,8.76,60.98,30.09,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,VLA,Morphology,se,0.355,0.194,,0.194,0.123,0.092,,0.092,se,11.3,3.6,6.6,2.6,se,11.3,6.6,3.072,1.948,1.214,0.951,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,Leaf thickness,Morphology,se,0.099,0.084,,0.084,0.2,0.137,,0.137,se,3.7,1.7,5.9,2.2,se,3.7,5.9,82.6,74.1,199.5,150.2,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,Leaf lamina area,Morphology,se,0.439,0.211,,0.211,0.082,0.07,,0.07,se,22.4,6.6,10.1,4.3,se,22.4,10.1,9.97,5.83,1.496,1.268,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,Stomatal density,Physiology,se,0.581,0.221,,0.221,0.342,0.181,,0.181,se,13.9,3.5,10.6,3.2,se,13.9,10.6,9179,4699,5842,3539,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,Stomatal length,Morphology,se,0.448,0.212,,0.212,0.127,0.105,,0.105,se,6.2,1.8,4,1.7,se,6.2,4,0.79,0.45,0.285,0.246,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,SPI,Physiology,se,0.267,0.161,,0.161,0.329,0.179,,0.179,se,9.8,3.3,11.9,3.6,se,9.8,11.9,0.19,0.129,0.241,0.146,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,ETR,Physiology,se,0.256,0.163,,0.163,0.05,0.052,,0.052,se,10.2,3.6,4.9,2.4,se,10.2,4.9,149.2,106.8,27.68,27.43,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,NPQ,Physiology,se,0.16,0.124,,0.124,0.042,0.04,,0.04,se,14.4,6.1,5.6,2.7,se,14.4,5.6,0.217,0.183,0.048,0.046,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,Aarea,Physiology,se,0.234,0.178,,0.178,0.226,0.178,,0.178,se,14.1,6,22.1,9.3,se,14.1,22.1,3.198,3.324,3.312,2.798,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,gs area,Physiology,se,0.532,0.267,,0.267,0.389,0.243,,0.243,se,33.9,10.5,47.5,16.9,se,33.9,47.5,7996,4953,2685,1916,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,Amass,Physiology,se,0.11,0.124,,0.124,0.141,0.148,,0.148,se,9.4,5.7,17.4,9.8,se,9.4,17.4,158.7,194.2,198.3,223.2,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,gs mass,Physiology,se,0.489,0.261,,0.261,0.602,0.313,,0.313,se,32.9,10.6,60.4,20,se,32.9,60.4,69.27,44.72,41.19,27.27,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Santa Elena,drought,drought,WUE,Physiology,se,0.674,0.306,,0.306,0.196,0.155,,0.155,se,25.2,7.5,17.7,7.9,se,25.2,17.7,252.2,149.6,265.5,238.4,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,Growth,LHT,se,0.825,0.282,,0.282,0.604,0.275,,0.275,se,51.8,13.9,51.4,15.2,se,51.8,51.4,27.87,15,4.094,2.415,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,SLA,Morphology,se,0.349,0.217,,0.217,0.688,0.273,,0.273,se,8.6,3.2,8.5,2.4,se,8.6,8.5,66.59,49.47,67.41,37.29,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,VLA,Morphology,se,0.602,0.273,,0.273,0.266,0.175,,0.175,se,19.4,5.8,10.7,4,se,19.4,10.7,10.05,6.04,3.463,2.614,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,Leaf thickness,Morphology,se,0.34,0.208,,0.208,0.499,0.25,,0.25,se,8.6,3.1,11,3.4,se,8.6,11,477.6,346.5,776.7,483.5,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,Leaf lamina area,Morphology,se,0.459,0.245,,0.245,0.499,0.253,,0.253,se,25.8,8.4,30.6,9.6,se,25.8,30.6,9.484,6.189,10.29,6.45,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,Stomatal density,Physiology,se,0.175,0.136,,0.136,0.317,0.219,,0.219,se,6.9,3,12.8,5.1,se,6.9,12.8,2485,2151,9386,7402,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,Stomatal length,Morphology,se,0.469,0.267,,0.267,0.701,0.288,,0.288,se,7.3,2.6,12.8,3.6,se,7.3,12.8,1.124,0.792,3.034,1.712,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,SPI,Physiology,se,0.144,0.129,,0.129,0.521,0.26,,0.26,se,7.5,3.7,17.4,5.4,se,7.5,17.4,0.122,0.122,0.568,0.351,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,ETR,Physiology,se,0.169,0.146,,0.146,0.146,0.13,,0.13,se,13.2,6,11.7,5.4,se,13.2,11.7,236,214.7,142.3,132.1,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,NPQ,Physiology,se,0.19,0.154,,0.154,0.167,0.142,,0.142,se,23.3,10.2,16.4,7.6,se,23.3,16.4,0.621,0.546,0.409,0.379,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,Aarea,Physiology,se,0.241,0.199,,0.199,0.592,0.302,,0.302,se,19,8.7,49.7,15.9,se,19,49.7,6.571,6.033,15.52,9.95,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,gs area,Physiology,se,0.137,0.133,,0.133,0.867,0.333,,0.333,se,17.6,9.3,73.5,20.7,se,17.6,73.5,1911,2007,6385,3590,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,Amass,Physiology,se,0.042,0.05,,0.05,0.14,0.172,,0.172,se,6.6,3.7,21.9,13.8,se,6.6,21.9,66.09,74.9,264.6,335.3,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,gs mass,Physiology,se,0.154,0.14,,0.14,0.818,0.348,,0.348,se,17.6,8.9,70.4,20.2,se,17.6,70.4,15.64,15.74,50.13,28.81,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Rincon,drought,drought,WUE,Physiology,se,0.145,0.128,,0.128,0.506,0.296,,0.296,se,14.1,6.6,25.7,9.9,se,14.1,25.7,77.21,71.95,449.5,345.3,,,,,,,,,,,,,,,,
15,California Grunion,Leuresthes tenuis,Aniimalia,Chordata,Actinopterygii,Atheriniformes,ocean acidification,Lab experiment,crossed breeding to produce different reatedness,animal model,narrow sense,only give h? but Va should be available,acidity,acidity,larval survival,LHT,95% CI,0.12,[0.038; 0.228],0.19,0.048469388,0.183,[0.05;0.33],0.28,0.071428571,,,,,,,,,,,,,,,,,,,1752-4571,2019,12,3,560,571,,10.1111/eva.12739,,WOS:000459328300015
15,California Grunion,Leuresthes tenuis,Aniimalia,Chordata,Actinopterygii,Atheriniformes,ocean acidification,Lab experiment,crossed breeding to produce different reatedness,animal model,narrow sense,only give h? but Va should be available,acidity,acidity,growth rate,LHT,95% CI,0.092,[0.023; 0.176],0.144,0.036734694,0.101,[0.029; 0.200],0.171,0.043622449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
